control_id,category,keywords,answer,detail,evidence,owner,confidence,last_reviewed
CB-001,Data Encryption,"encrypt,at rest,aes",Yes,All data at rest is encrypted using AES-256 via our cloud provider's native encryption services.,AWS KMS encryption policy documentation,Security Engineering,High,2026-05-01
CB-002,Data Encryption,"encrypt,transit,tls,https",Yes,All data in transit is encrypted using TLS 1.2 or higher. TLS 1.0 and 1.1 are disabled across all endpoints.,Network security configuration baseline,Security Engineering,High,2026-05-01
CB-003,Access Control,"multi-factor,mfa,two-factor,2fa",Yes,MFA is enforced for all users accessing production systems and corporate applications via Okta.,Okta MFA policy documentation,IT / IAM,High,2026-05-01
CB-004,Access Control,"least privilege,minimum access,role-based,rbac",Yes,Access is granted on a least-privilege basis. Role-based access control (RBAC) is enforced across all systems.,IAM policy documentation,IT / IAM,High,2026-05-01
CB-005,Access Control,"access review,periodic review,user access",Yes,Access reviews are conducted quarterly for all production systems and annually for lower-risk systems.,Quarterly access review reports,IT / IAM,High,2026-05-01
CB-006,Incident Response,"incident response,irp,incident plan",Yes,A documented incident response plan is maintained and reviewed annually. The plan covers detection containment eradication recovery and post-incident review.,IRP v3.2 (internal),Security / Compliance,High,2026-04-01
CB-007,Incident Response,"rto,recovery time,recovery objective",Yes,Our target RTO is 4 hours for Tier 1 systems and 24 hours for Tier 2 systems.,BCP / DR documentation,IT / Security,Medium,2026-04-01
CB-008,Incident Response,"tabletop,exercise,simulation,drill",Yes,Tabletop exercises are conducted annually and include cross-functional participation from Legal Privacy and Engineering.,2025 tabletop exercise summary,Security / Compliance,High,2026-04-01
CB-009,Vulnerability Management,"vulnerability scan,vulnerability assessment",Yes,Automated vulnerability scans are conducted weekly on all production systems using industry-standard tooling.,Vulnerability scan schedule and reports,Security Engineering,High,2026-05-01
CB-010,Vulnerability Management,"patch,patching,patch management",Yes,A patch management policy requires critical patches to be applied within 15 days and high patches within 30 days.,Patch management policy v2.1,IT / Security,High,2026-05-01
CB-011,Vulnerability Management,"penetration test,pentest,pen test",Yes,Annual penetration testing is conducted by a qualified third-party firm. Findings are tracked to remediation.,2025 penetration test report (available under NDA),Security Engineering,High,2026-05-01
CB-012,Third-Party Risk,"third-party,vendor assessment,supplier",Yes,All third-party vendors with access to sensitive data undergo a security assessment prior to onboarding and annually thereafter.,Vendor risk assessment program documentation,Procurement / Security,High,2026-05-01
CB-013,Third-Party Risk,"vendor policy,vendor security,vendor agreement",Yes,All vendors are required to adhere to our Third-Party Security Policy as a condition of contract.,Third-Party Security Policy v1.4,Procurement / Legal,High,2026-05-01
CB-014,Data Privacy,"privacy policy,privacy notice",Yes,A publicly available privacy policy is maintained and reviewed annually. It covers data collection use retention and individual rights.,Privacy Policy (public),Privacy / Legal,High,2026-05-01
CB-015,Data Privacy,"dpia,data protection impact,impact assessment",Yes,DPIAs are conducted for all high-risk processing activities involving personal data including new product launches and significant system changes.,DPIA template and completed assessments,Privacy,High,2026-05-01
CB-016,Data Privacy,"gdpr,general data protection",Yes,We are GDPR compliant. Our privacy program includes lawful basis documentation data subject rights processes and a DPA for relevant vendors.,GDPR compliance documentation,Privacy / Legal,High,2026-05-01
CB-017,Data Privacy,"ccpa,california consumer privacy,california privacy",Yes,We are compliant with CCPA and CPRA. We support consumer rights requests and have updated our privacy notice accordingly.,CCPA compliance documentation,Privacy / Legal,High,2026-05-01
CB-018,Business Continuity,"business continuity,bcp,continuity plan",Yes,A documented BCP is maintained covering people process and technology. It is reviewed and updated annually.,BCP v2.0 (internal),IT / Security,High,2026-04-01
CB-019,Business Continuity,"test bcp,bcp test,continuity test,disaster recovery test",Yes,The BCP is tested annually via tabletop exercise and failover testing for Tier 1 systems.,BCP test results 2025,IT / Security,Medium,2026-04-01
CB-020,Security Awareness,"security awareness,security training,awareness training",Yes,All employees complete security awareness training at onboarding and annually thereafter. Phishing simulations are conducted quarterly.,LMS training completion reports,HR / Security,High,2026-05-01
CB-021,Security Awareness,"frequency,how often,how frequently",Yes,Security awareness training is conducted annually for all staff with targeted training for high-risk roles (engineering finance) conducted semi-annually.,Training schedule documentation,HR / Security,High,2026-05-01
CB-022,Audit and Compliance,"soc 2,soc2,service organization",Yes,We hold a current SOC 2 Type II certification. The report is available under NDA upon request.,SOC 2 Type II report (available under NDA),Compliance,High,2026-05-01
CB-023,Audit and Compliance,"iso 27001,iso27001,information security management",No,We do not currently hold ISO 27001 certification. Our security program is aligned with ISO 27001 controls and we are evaluating certification in 2027.,N/A,Compliance,High,2026-05-01
CB-024,Audit and Compliance,"breach,security incident,data breach",No,We have not experienced a reportable security breach in the past 24 months.,Incident log (available under NDA),Security / Compliance,High,2026-05-01
CB-025,AI and Emerging Tech,"ai policy,artificial intelligence,machine learning,ml systems",Yes,We maintain an AI Acceptable Use Policy governing the deployment and use of AI/ML systems. The policy is reviewed annually and aligned with the NIST AI RMF.,AI Acceptable Use Policy v1.0,Privacy / Compliance,Medium,2026-05-01
